96015416,4,500
96019056,0.20,0.00,-10.43
96022708,0.04,0.24,-10.04
96026360,0.20,0.12,-10.55
96030028,0.12,0.31,-10.16
96033708,0.12,0.35,-10.16
96037372,0.16,0.24,-9.77
96040988,0.04,0.27,-10.08
96044644,0.08,0.39,-10.04
96048300,0.08,0.12,-9.81
96051892,0.08,0.24,-9.96
96055484,0.04,0.24,-9.96
96059080,0.04,0.24,-9.77
96062676,0.08,0.20,-9.85
96066268,0.08,0.39,-10.00
96069912,0.12,0.43,-10.40
96073572,0.04,0.27,-9.81
96077184,0.08,0.39,-10.43
96080852,0.04,0.16,-10.12
96084500,0.12,0.16,-9.85
96088116,0.08,0.20,-10.04
96091772,0.08,0.39,-10.28
96095440,0.12,-0.16,-10.04
96099116,0.12,0.24,-10.12
96102784,0.12,0.16,-9.81
96106400,0.08,0.27,-9.96
96109992,0.00,0.08,-9.96
96113584,-0.08,0.08,-10.24
96117252,0.24,0.04,-10.32
96120916,0.04,0.08,-10.36
96124560,0.20,0.08,-10.20
96128196,0.00,0.04,-9.81
96131772,0.00,0.39,-10.43
96135424,0.08,0.20,-10.20
96139064,0.12,0.35,-9.81
96142676,0.20,0.43,-9.77
96146284,0.04,0.24,-9.89
96149888,0.16,0.35,-10.04
96153528,0.00,0.20,-9.61
96157100,0.00,0.55,-10.28
96160756,0.16,0.35,-9.85
96164364,0.12,0.35,-9.85
96167984,0.04,0.24,-10.47
96171636,0.12,0.43,-9.85
96175240,0.00,0.16,-9.69
96178828,0.20,0.27,-10.12
96182476,0.12,0.39,-9.81
96186084,0.08,0.16,-9.65
96189688,-0.12,0.12,-10.43
96193368,0.20,0.16,-10.00
96197024,0.04,0.12,-10.24
96200676,0.08,0.24,-10.00
96204332,0.12,0.24,-9.89
96207944,0.04,0.24,-10.12
96211596,0.08,0.27,-10.12
96215252,0.12,0.16,-9.96
96218872,0.08,0.24,-10.08
96222520,0.12,0.16,-10.36
96226192,0.04,0.24,-10.16
96229864,0.04,0.35,-9.85
96233456,0.20,0.35,-10.08
96237092,0.00,0.39,-9.81
96240688,0.20,0.27,-10.24
96244348,0.12,0.16,-9.96
96247972,0.08,0.43,-10.20
96251624,0.08,0.35,-9.53
96255220,0.08,0.20,-9.65
96258824,0.08,0.59,-10.24
96262472,0.12,0.24,-9.92
96266072,0.04,0.43,-9.96
96269680,0.08,0.20,-9.85
96273268,0.12,0.55,-10.24
96276936,0.12,0.43,-10.20
96280604,0.12,0.24,-10.12
96284268,0.12,0.27,-10.20
96287932,0.08,0.39,-10.00
96291576,0.12,0.43,-10.40
96295240,0.16,0.24,-10.00
96298896,0.04,0.24,-10.28
96302548,0.08,0.31,-10.00
96306212,0.04,0.16,-10.20
96309868,0.08,0.08,-9.57
96313452,0.12,0.47,-10.20
96317104,0.04,0.12,-10.00
96320764,0.12,0.24,-10.20
96324428,0.04,0.20,-10.00
96328056,0.00,0.24,-10.00
96331708,0.12,0.12,-10.04
96335368,0.04,0.20,-10.28
96339020,-0.12,-0.08,-9.61
96342652,0.04,0.24,-10.24
96346316,0.08,0.24,-10.47
96349972,0.08,0.12,-9.92
96353572,0.04,0.20,-10.08
96357216,0.08,0.16,-10.00
96360860,0.00,0.24,-10.36
96364504,0.12,0.20,-10.36
96368176,0.08,0.16,-10.12
96371840,0.08,0.24,-10.00
96375472,0.08,0.20,-10.24
96379124,0.08,0.20,-9.65
96382712,0.12,0.27,-9.81
96386328,0.08,0.08,-9.77
96389924,0.08,0.35,-10.24
96393588,0.12,0.24,-9.89
96397196,0.12,0.24,-10.00
96400848,0.12,0.27,-9.73
96404440,0.12,0.27,-9.96
96408052,0.12,0.20,-9.92
96411664,0.08,0.39,-10.08
96415320,0.12,0.31,-10.40
96418988,0.08,0.27,-10.47
96422648,0.08,0.24,-10.16
96426308,0.08,0.20,-9.92
96429900,0.04,0.35,-9.92
96433492,0.04,0.24,-9.96
96437092,0.08,0.31,-10.20
96440744,0.04,0.00,-10.12
96444392,0.04,0.51,-10.40
